experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
00_baseline_exploration/sweep_lr_0.002,yearly,6,2.4355778296788535,0.22023268169308413,2.2267327308654785,2.8176381587982178,0.05775421609481176,0.08023687771388459,0,00_baseline_exploration,sweep_lr_0.002,sweep_lr_0.002,00_baseline_exploration,0.53671875,0.8329736080938573,1.0828303098678589,0.7722307443618774,True,False,False,True,2.34375,0.0,94.6875,2.96875,0.0,97.65625,0.0430367530459774,0.5371127204117174,True,
00_baseline_exploration/sweep_lr_0.0005,yearly,6,2.717027028401693,0.0677547252462718,2.61856746673584,2.8196089267730713,0.06354356308778127,0.00826030458722789,0,00_baseline_exploration,sweep_lr_0.0005,sweep_lr_0.0005,00_baseline_exploration,0.51484375,0.5934322537462989,1.083159565925598,0.7738499641418457,True,False,True,True,27.265625,19.140625,50.9375,2.65625,0.0,72.734375,0.0576308645192513,0.4994150831909639,False,
00_baseline_exploration/sweep2_hidden_14,yearly,6,2.871868292490641,0.06427055975366017,2.7765214443206787,2.9636011123657227,0.0506219125042359,-0.002660710471017075,19,00_baseline_exploration,sweep2_hidden_14,sweep2_hidden_14,00_baseline_exploration,0.53203125,0.7791355605596145,1.0851891040802002,0.7743974328041077,False,False,True,True,33.046875,3.75,63.20312500000001,0.0,0.0,66.953125,0.0584723649624043,0.5106230696523733,False,
00_baseline_exploration/sweep_dropout_0.3,yearly,6,2.963243285814921,0.014641479608696386,2.9358224868774414,2.984788179397583,0.05147436074912548,0.003511353901454515,0,00_baseline_exploration,sweep_dropout_0.3,sweep_dropout_0.3,00_baseline_exploration,0.53359375,0.8353788934018072,1.0822051763534546,0.7727476358413696,True,False,True,True,32.890625,5.15625,59.609375,2.34375,0.0,67.109375,0.0542411624504269,0.5412951965218917,False,
00_baseline_exploration/sweep_combo2,yearly,6,3.555130362510681,0.05489786739101601,3.4679462909698486,3.6192681789398193,0.025133075813452404,-0.022002077102661225,0,00_baseline_exploration,sweep_combo2,sweep_combo2,00_baseline_exploration,0.5111111111111111,0.6219569398456505,1.0807499885559082,0.771185040473938,True,False,True,True,21.904761904761905,15.873015873015872,60.55555555555555,1.6666666666666667,0.0,78.09523809523809,0.0601069471602189,0.484544132854865,False,
00_baseline_exploration/sweep2_h16_enc_50,yearly,6,3.7822974920272827,0.10549132457995766,3.560270309448242,3.874420404434204,0.020318685720364254,0.002020733697073714,49,00_baseline_exploration,sweep2_h16_enc_50,sweep2_h16_enc_50,00_baseline_exploration,0.5352,0.8757427778235402,1.0769654512405396,0.7665221691131592,True,False,False,True,7.199999999999999,0.0,90.56,2.24,0.0,92.8,0.0457967029373218,0.5300930893336318,True,
00_baseline_exploration/exp001_baseline,yearly,6,2.373480280240377,0.24214230787477653,2.1165645122528076,2.7789032459259033,0.06057569322486719,0.08617298262459895,0,00_baseline_exploration,exp001_baseline,exp001_baseline,00_baseline_exploration,0.5265625,0.7697217541762329,1.0848512649536133,0.7738154530525208,False,False,True,True,30.234375000000004,7.03125,62.734375,0.0,0.0,69.765625,0.0678791847740436,0.5284538034406749,False,
00_baseline_exploration/sweep2_combo2,yearly,6,3.3508344093958535,0.04332854089749746,3.2679712772369385,3.39424204826355,0.03341282779971758,0.0022218636104037745,29,00_baseline_exploration,sweep2_combo2,sweep2_combo2,00_baseline_exploration,0.5338582677165354,0.9090400093512464,1.0863736867904663,0.7752647995948792,True,True,True,True,44.96062992125984,9.84251968503937,40.94488188976378,1.574803149606299,2.677165354330709,55.03937007874016,0.046705919117931,0.5386440953868677,True,
00_baseline_exploration/exp003_large,yearly,6,2.324099620183309,0.19124295018225176,1.9877803325653076,2.542562484741211,0.09207578375935555,-0.04792103086199062,0,00_baseline_exploration,exp003_large,exp003_large,00_baseline_exploration,0.51484375,0.5491898593321413,1.0904604196548462,0.7764203548431396,False,False,True,True,13.359375000000002,16.71875,69.921875,0.0,0.0,86.640625,0.0700898846603043,0.5035388856313714,False,
00_baseline_exploration/sweep_encoder_40,yearly,6,3.5951446692148843,0.03714583005776026,3.5325679779052734,3.632444381713867,0.025146587130924065,0.012351036071777202,1,00_baseline_exploration,sweep_encoder_40,sweep_encoder_40,00_baseline_exploration,0.5071428571428571,0.7648537022503901,1.0804791450500488,0.7732592225074768,False,False,True,True,59.12698412698413,18.88888888888889,21.984126984126984,0.0,0.0,40.87301587301587,0.0633690207258844,0.4936935301155838,False,
00_baseline_exploration/exp005_attn4,yearly,6,2.5175819794336953,0.1780586603318098,2.2341620922088623,2.807915687561035,0.05191981544097265,0.04563860893249507,0,00_baseline_exploration,exp005_attn4,exp005_attn4,00_baseline_exploration,0.5265625,0.9715244996085568,1.0833011865615845,0.7731990814208984,True,False,True,True,51.87500000000001,17.578125,28.281250000000004,2.265625,0.0,48.125,0.0687492878735279,0.5466918106622385,False,
00_baseline_exploration/sweep2_h16_drop_0.25,yearly,6,2.8106602827707925,0.11409525614512171,2.61167049407959,2.956252336502075,0.05042140247921149,0.03390748160225983,19,00_baseline_exploration,sweep2_h16_drop_0.25,sweep2_h16_drop_0.25,00_baseline_exploration,0.5390625,0.9279255765251542,1.08319091796875,0.7719786763191223,True,True,True,True,20.859375,2.734375,72.265625,2.03125,2.109375,79.140625,0.0297319032033624,0.5477703506888959,True,
00_baseline_exploration/sweep_encoder_60,yearly,6,3.8745155334472656,0.10604858509329654,3.724900484085083,4.022549629211426,0.016955190959076088,0.0285172734941753,0,00_baseline_exploration,sweep_encoder_60,sweep_encoder_60,00_baseline_exploration,0.5274193548387097,0.7683838944284458,1.0767711400985718,0.76555997133255,True,False,True,True,13.225806451612904,12.741935483870966,73.38709677419355,0.6451612903225806,0.0,86.77419354838709,0.0479145033343149,0.5088947355281341,True,
00_baseline_exploration/sweep_hidden_24,yearly,6,2.7779075702031455,0.14001933264594027,2.576857328414917,2.9566104412078857,0.05314886383712292,0.052835185187203516,19,00_baseline_exploration,sweep_hidden_24,sweep_hidden_24,00_baseline_exploration,0.51796875,0.665468103398234,1.0862996578216553,0.7725423574447632,False,False,True,True,61.5625,29.375,9.0625,0.0,0.0,38.4375,0.0693071770354143,0.5311465079769803,False,
00_baseline_exploration/sweep_dropout_0.1,yearly,6,2.6822930574417114,0.0846936944343966,2.528627395629883,2.7893314361572266,0.05940811149775982,-0.00861679485865992,0,00_baseline_exploration,sweep_dropout_0.1,sweep_dropout_0.1,00_baseline_exploration,0.52578125,0.7271325979315991,1.0832656621932983,0.7735373973846436,True,False,True,True,29.609375,15.156249999999998,50.07812499999999,5.15625,0.0,70.39062499999999,0.0386314796893442,0.5186370077364252,True,
02b_vintage_sweep/baseline_h16_drop0.10,yearly,6,2.8185449043909707,0.11923120693946201,2.5987205505371094,2.9563286304473877,0.0516057051718235,0.032165275301252,19,02b_vintage_sweep,baseline_h16_drop0.10,baseline_h16_drop0.10,02b_vintage_sweep,0.5327613104524181,0.7229074851021601,1.0821499824523926,0.7721704840660095,False,False,True,True,61.15444617784711,12.948517940717627,25.897035881435254,0.0,0.0,38.84555382215289,0.0554251871989932,0.5429674649838774,False,
02b_vintage_sweep/baseline_h20_drop0.30,yearly,6,2.6604120333989463,0.17774455136374748,2.404229164123535,2.871335029602051,0.08254298567771912,0.08494663919721333,19,02b_vintage_sweep,baseline_h20_drop0.30,baseline_h20_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.084668755531311,0.7723454236984253,True,True,False,True,2.3400936037441498,0.0,85.95943837753511,5.538221528861154,6.162246489859594,97.65990639625586,0.0249886854027257,0.4985173780937046,True,
