experiment_name,period1,period2,cosine_similarity,l2_distance,entropy_change,concentration_change,top_timestep1,top_timestep2,top_timestep_delta,signal_cosine,signal_l2,signal_entropy,signal_top_timestep,n_signals_fired
00_baseline_exploration/sweep_combo3,2022,2023,0.9947862760730444,0.01330488920211792,0.018677234649658203,-0.0002858508378267288,t-58,t-40,18,False,False,False,True,1
00_baseline_exploration/sweep_combo3,2023,2024,0.999481450073805,0.004163985140621662,-0.0014982223510742188,-3.5781413316726685e-05,t-40,t-26,14,False,False,False,True,1
00_baseline_exploration/sweep_combo3,2024,2025,0.9986692722235612,0.0066765835508704185,-0.006993770599365234,7.343105971813202e-05,t-26,t-59,33,False,False,False,True,1
00_baseline_exploration/sweep2_hidden_14,2020,2021,0.9979437620936648,0.014354219660162926,0.006420612335205078,-0.00012695789337158203,t-0,t-19,19,False,False,False,True,1
00_baseline_exploration/sweep2_hidden_14,2021,2022,0.9992175232329515,0.008847718127071857,-0.0037627220153808594,3.505498170852661e-06,t-19,t-0,19,False,False,False,True,1
00_baseline_exploration/sweep2_hidden_14,2022,2023,0.999250280645159,0.008661387488245964,0.005513668060302734,-4.854053258895874e-06,t-0,t-19,19,False,False,False,True,1
00_baseline_exploration/sweep2_h16_enc_15,2021,2022,0.9913362355741319,0.03416520357131958,0.025046348571777344,0.000523105263710022,t-0,t-14,14,False,True,False,True,2
00_baseline_exploration/sweep2_h16_enc_15,2022,2023,0.9823413538160863,0.04894288256764412,-0.04752039909362793,0.0004688575863838196,t-14,t-0,14,False,True,False,True,2
00_baseline_exploration/sweep2_h16_enc_15,2023,2024,0.9790728372898225,0.05608329549431801,-0.10236144065856934,0.006752505898475647,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_enc_15,2024,2025,0.982780414802401,0.05071223899722099,-0.011273622512817383,-0.004829786717891693,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep_dropout_0.1,2023,2024,0.9998422324393301,0.003975459840148687,-0.0006847381591796875,-3.831833600997925e-05,t-19,t-9,10,False,False,False,True,1
00_baseline_exploration/sweep2_h16_enc_30,2020,2021,0.9997883366905904,0.0037732585333287716,-0.05052781105041504,-5.5637210607528687e-05,t-0,t-0,0,False,False,True,False,1
