experiment_name,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep
01_staleness_features_fixed/sweep_stale_h12_drop0.20_lr5,yearly,6,2.9615526596705117,0.019680605703169755,2.933750867843628,2.9826343059539795,0.05002196008960406,-0.008234003611973514,19
01_staleness_features_fixed/sweep_stale_h16_drop0.25_lr5,yearly,6,2.989450375239054,0.004292192335090106,2.9838674068450928,2.9946253299713135,0.05002082015077273,-0.0018940516880583253,0
01_staleness_features_fixed/sweep_stale_h20_drop0.30_lr3,yearly,6,2.9899880488713584,0.0030590687614895007,2.9865522384643555,2.9942221641540527,0.050067914028962456,0.00043702125549276096,0
01_staleness_features_fixed/sweep_stale_h14_drop0.15_lr3,yearly,6,2.9859283765157065,0.00355181859242202,2.9802494049072266,2.990081787109375,0.050238506868481636,-0.0005722182137627637,19
01_staleness_features_fixed/sweep_stale_h22_drop0.15_lr5,yearly,6,2.9778656164805093,0.015868467932366685,2.9500162601470947,2.9923815727233887,0.05009599154194196,0.008607060568672715,19
01_staleness_features_fixed/sweep_stale_h20_drop0.25_lr3,yearly,6,2.9905330737431846,0.0026213681002635668,2.987032651901245,2.9942541122436523,0.05006406828761101,0.0003280162811275078,0
01_staleness_features_fixed/sweep_stale_h16_drop0.30_lr5,yearly,6,2.989169637362162,0.004513632873817697,2.9833645820617676,2.9945473670959473,0.050020357593894005,-0.0019829000745504683,0
01_staleness_features_fixed/sweep_stale_h16_drop0.25_lr3,yearly,6,2.988773306210836,0.00438921196471314,2.9827239513397217,2.9940154552459717,0.05002758838236332,-0.0019388948168074713,0
01_staleness_features_fixed/sweep_stale_h20_drop0.30_lr5,yearly,6,2.986668507258097,0.0041947687789537745,2.9793994426727295,2.9918594360351562,0.050116355841358505,7.09533691401765e-05,0
01_staleness_features_fixed/sweep_stale_h14_drop0.15_lr5,yearly,6,2.9859825372695923,0.0035434427743931095,2.9801368713378906,2.99006986618042,0.05021802273889383,-0.0006455217088972789,19
01_staleness_features_fixed/sweep_stale_h22_drop0.15_lr3,yearly,6,2.977587898572286,0.015831511436137848,2.949733257293701,2.9921274185180664,0.05009116604924202,0.008574301855904529,19
01_staleness_features_fixed/sweep_stale_h20_drop0.25_lr5,yearly,6,2.98855193456014,0.0032451821539868243,2.982084035873413,2.992187976837158,0.05009551035861174,1.7874581472869903e-05,0
01_staleness_features_fixed/sweep_stale_h16_drop0.30_lr3,yearly,6,2.988594651222229,0.004501934718397789,2.9823691844940186,2.9939725399017334,0.05002761942644914,-0.001992055347987998,0
01_staleness_features_fixed/sweep_stale_h16_drop0.20_lr3,yearly,6,2.9889336427052817,0.004295427860231081,2.983009099960327,2.994075298309326,0.05002723013361295,-0.0018864222935272338,0
01_staleness_features_fixed/sweep_stale_h20_drop0.35_lr5,yearly,6,2.9871964852015176,0.004148142587387117,2.9812371730804443,2.9927377700805664,0.05009171615044276,0.0007317202431812666,0
01_staleness_features_fixed/sweep_stale_h20_drop0.20_lr5,yearly,6,2.9918458064397178,0.0019495050696333302,2.9888901710510254,2.9947071075439453,0.0500495620071888,0.00031613622392874665,0
01_staleness_features_fixed/sweep_stale_h12_drop0.15_lr3,yearly,6,2.9621347188949585,0.021637820869860973,2.9314799308776855,2.9846291542053223,0.05002183591326078,-0.009218617847987914,19
01_staleness_features_fixed/sweep_stale_h16_drop0.35_lr3,yearly,6,2.989594062169393,0.003990373628330366,2.9845306873321533,2.994551181793213,0.05001841547588507,-0.0017821993146627702,0
01_staleness_features_fixed/sweep_stale_h16_drop0.20_lr5,yearly,6,2.990000009536743,0.0038158673414210695,2.984999656677246,2.9947407245635986,0.050020383670926094,-0.0016885484967915573,0
01_staleness_features_fixed/sweep_stale_h20_drop0.35_lr3,yearly,6,2.9875693321228027,0.0037358647754625668,2.9829182624816895,2.992666482925415,0.050106536597013474,0.0005554744175497044,0
01_staleness_features_fixed/sweep_stale_h20_drop0.20_lr3,yearly,6,2.991062800089518,0.00226775423874776,2.987305164337158,2.994245767593384,0.050058613841732345,0.0002785137721467194,0
01_staleness_features_fixed/sweep_stale_h12_drop0.15_lr5,yearly,6,2.9611361026763916,0.021033630099482975,2.9315297603607178,2.982966661453247,0.05001891404390335,-0.008900874001639534,19
01_staleness_features_fixed/sweep_stale_h16_drop0.35_lr5,yearly,6,2.9891088008880615,0.004444750227197288,2.983348846435547,2.994452714920044,0.05002103497584661,-0.0019573620387487163,0
01_staleness_features_fixed/sweep_stale_h18_drop0.15_lr5,yearly,6,2.986984133720398,0.004330428019778451,2.9805197715759277,2.992144823074341,0.050215281546115875,0.00113783563886332,0
