Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,SP500_Volatility,cumret_5,cumret_10,cumret_20,cumret_30
2011-03-11,-1.276917443548431,20.532,3.4,2.76,0.9172800374944756,1.1807299098464785,2.2226814474805012,-0.9200478218216568,-11.410131644782062
2011-03-18,-1.9221384822467933,25.132,3.28,2.67,1.062073601103331,4.54734138426196,4.056411084417144,-6.24056710723101,-4.270605025837682
2011-03-25,2.704019586063477,19.18,3.46,2.67,1.1190580562444772,3.7912874617310743,-1.0382108495584186,-10.274774335317073,-5.750498250895475
2011-04-01,1.416500583034841,18.09,3.46,2.66,1.0215338198624169,0.5846486286020358,-4.610446644433875,-15.676856187248111,-3.5514644250265626
2011-04-08,-0.3182196265119952,17.326,3.59,2.76,0.8781704501393126,0.7227971771913477,-4.266776246283532,-11.396883690249837,-5.642354592937037
2011-04-15,-0.6392246439436033,16.438,3.43,2.72,0.6402408182344943,1.029792469932178,-3.882009309377976,-11.04131888620098,-6.06056765912002
2011-04-22,1.341230484017908,15.6375,3.42,2.74,0.5357250318444193,-0.46957702926219147,0.17123323618857267,-13.694688401604417,-9.102123556828323
2011-04-29,1.9612959946300637,15.222,3.32,2.71,0.567351418496553,-4.653086428926123,-1.4527567806223107,-10.824207593924584,-15.029219762820457
2011-05-06,-1.7167690491538878,17.274,3.19,2.62,0.5957430750072054,-5.164898763247894,-1.7952497686930857,-15.204440000371655,-7.157135156670302
2011-05-13,-0.1813111273806789,16.624000000000002,3.18,2.61,0.6687233497809227,-4.953767730156711,0.5419466645350424,-15.424921516647705,-6.172965227157379
2011-05-20,-0.3363806883321274,16.994,3.15,2.6,0.6699166422015473,-4.861735988195726,-3.0743952563177412,-13.33638767758869,-8.52115353133832
2011-05-27,-0.1627610246629163,17.046,3.07,2.59,0.6538232182183055,0.6438335599549871,-9.895573068818031,-8.002405640820564,-4.941027776842888
2011-06-03,-2.3243889996039213,17.447499999999998,2.99,2.57,0.8124789858495526,3.356511006429397,-9.333464527118874,-4.761724137963419,-3.273447689122566
2011-06-10,-2.2443432303584143,18.396,2.99,2.58,0.8421499899788405,3.5531664442921995,-11.60128038503757,1.11016582230965,0.5373867590330095
2011-06-17,0.0409148483250021,20.754,2.94,2.56,0.9195091558840242,5.782148606468729,-7.447892345408979,-1.4368871043059395,1.383402738522399
2011-06-24,-0.2398780045713699,19.552,2.88,2.53,0.9813287032340222,1.878677050125943,-7.448459466726587,-2.2665458714740128,3.6997954604026884
2011-07-01,5.614734164926238,17.878,3.22,2.72,0.990792729583605,-10.471984478308382,-13.842219157968483,-9.257504867841405,-1.7422266024467725
2011-07-08,0.3082852304922445,16.075,3.03,2.63,0.9491107761662404,-12.277867557621857,-9.509602204133028,-13.776603524032971,0.08185559949169807
2011-07-15,-2.0583444838991327,19.7,2.94,2.57,0.9612749450672176,-14.634460103624436,-13.654319368559232,-5.459904307427155,2.0134635908838794
2011-07-22,2.194295786267597,18.866,2.99,2.59,0.9604552416753848,-12.5068748613683,-15.880802700645201,-6.678716808713858,1.205183618244532
2011-07-29,-3.921130501295833,22.31,2.82,2.46,0.9670439788552097,-9.15514098427429,-10.587493829322604,-5.619524675058207,5.6845234215582074
2011-08-05,-7.1888462491066285,27.098000000000003,2.58,2.3,1.1698648569549384,-3.764446983462433,2.1010814812055134,5.498670221563207,14.194833939776608
2011-08-12,-1.7150482920608945,40.282,2.24,2.04,2.444509280038253,3.155720542141638,5.042368019590726,6.683851772199745,16.292695767505847
2011-08-19,-4.6894772312021775,36.404,2.07,1.87,2.8168112988451397,1.1481690811713907,14.379672310542935,13.731722808817715,24.978416894123214
2011-08-26,4.74130803291366,37.992,2.19,1.99,3.0134188234360217,-3.8562205132471328,6.494725396785572,9.54197079648389,18.721101918956062
2011-09-02,-0.2404892936415326,32.506,2.02,1.82,3.0668106309485603,-1.5767021497610223,5.59894904546685,12.045455821582296,19.97495726909875
