experiment_name,phase,group,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,composite_score,evaluated
learn3r_d025_lb1,05a_regime_output,other,16,0.25,0.0005,0.3938019573688507,77,True,1.1734858751296997,1.083275556564331,0.0012760162353515625,0.5374414976599063,0.8380294796085687,0.4711914767595826,0.0,2.3400936037441498,0.0,92.82371294851795,1.71606864274571,3.1201248049921997,97.65990639625586,True,True,False,True,0.04479036223189266,1277,100.0,0.0,0.508632974419489,True
learn3r_d025_lb1_mlp,05a_regime_output,other,16,0.25,0.0005,0.3989635407924652,53,True,1.1749250888824463,1.0839396715164185,5.1140785217285156e-05,0.5374414976599063,0.8380294796085687,0.47085371912760626,0.0,2.3400936037441498,0.0,91.34165366614666,1.6380655226209049,4.6801872074882995,97.65990639625586,True,True,False,True,0.02834175969988439,1266,100.0,0.0,0.5082952167875125,True
learn3r_d025_lb2,05a_regime_output,other,16,0.25,0.0005,0.3938065767288208,85,True,1.1748846769332886,1.083920955657959,8.559226989746094e-05,0.5374414976599063,0.8380294796085687,0.4708684042420401,0.0,2.3400936037441498,0.0,94.07176287051482,2.65210608424337,0.93603744149766,97.65990639625585,True,True,False,True,0.044922760819348484,1277,100.0,0.0,0.5083099019019464,True
learn3r_d025_lb2_mlp,05a_regime_output,other,16,0.25,0.0005,0.3993164002895355,53,True,1.1746675968170166,1.0838208198547363,0.0002703666687011719,0.5374414976599063,0.8380294796085687,0.4750781370463829,0.0,2.3400936037441498,0.0,82.99531981279252,5.070202808112325,9.594383775351014,97.65990639625586,True,True,False,True,0.024424039193005807,1258,100.0,0.0,0.5125196347062893,True
vix2r_d010_t15,05a_regime_output,other,16,0.1,0.0005,0.3798156678676605,86,True,1.1993741989135742,1.0951594114303589,-0.020756840705871582,0.5054602184087363,0.49322355446981475,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,66.92667706708268,False,False,True,True,0.13511585659116032,1281,71.996879875195,28.003120124804994,0.4995727112803371,True
vix2r_d010_t15_hr,05a_regime_output,other,16,0.1,0.0005,0.3798156678676605,86,True,1.1993741989135742,1.0951594114303589,-0.020756840705871582,0.5054602184087363,0.49322355446981475,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,66.92667706708268,False,False,True,True,0.13511585659116032,1281,71.996879875195,28.003120124804994,0.4995727112803371,True
vix2r_d010_t15_mlp,05a_regime_output,other,16,0.1,0.0005,0.3780626654624939,83,True,1.2482960224151611,1.1172716617584229,-0.0623929500579834,0.514820592823713,0.7544831159147718,0.48498814177009475,-0.17184853553771973,27.301092043681745,7.800312012480499,64.89859594383776,0.0,0.0,72.69890795631827,False,False,True,True,0.2369611648007978,1271,81.04524180967239,18.954758190327613,0.4998087345938077,True
vix2r_d010_t15_mlp_hr,05a_regime_output,other,16,0.1,0.0005,0.3780626654624939,83,True,1.2482960224151611,1.1172716617584229,-0.0623929500579834,0.514820592823713,0.7544831159147718,0.48498814177009475,-0.17184853553771973,27.301092043681745,7.800312012480499,64.89859594383776,0.0,0.0,72.69890795631827,False,False,True,True,0.2369611648007978,1271,81.04524180967239,18.954758190327613,0.4998087345938077,True
vix2r_d010_t20,05a_regime_output,other,16,0.1,0.0005,0.37417319416999817,80,True,1.395603060722351,1.181356430053711,-0.18776214122772217,0.48049921996879874,0.6219049582906708,0.49438416748862524,-0.4192025661468506,58.11232449297972,9.048361934477379,32.8393135725429,0.0,0.0,41.887675507020276,False,False,True,True,0.4484077145647613,1281,42.82371294851794,57.176287051482056,0.474883387457424,True
vix2r_d010_t20_hr,05a_regime_output,other,16,0.1,0.0005,0.37417319416999817,80,True,1.395603060722351,1.181356430053711,-0.18776214122772217,0.48049921996879874,0.6219049582906708,0.49438416748862524,-0.4192025661468506,58.11232449297972,9.048361934477379,32.8393135725429,0.0,0.0,41.887675507020276,False,False,True,True,0.4484077145647613,1281,42.82371294851794,57.176287051482056,0.474883387457424,True
vix2r_d010_t20_mlp,05a_regime_output,other,16,0.1,0.0005,0.3723495304584503,75,True,1.4621946811676025,1.2092124223709106,-0.2444366216659546,0.4781591263650546,0.6062962397435866,0.48586190607890317,-0.43691420555114746,61.62246489859594,7.17628705148206,27.53510140405616,3.6661466458658345,0.0,38.37753510140406,True,False,True,True,0.5203390528971402,1274,42.90171606864275,57.09828393135725,0.46402103244395776,True
vix2r_d010_t20_mlp_hr,05a_regime_output,other,16,0.1,0.0005,0.3723495304584503,75,True,1.4621946811676025,1.2092124223709106,-0.2444366216659546,0.4781591263650546,0.6062962397435866,0.48586190607890317,-0.43691420555114746,61.62246489859594,7.17628705148206,27.53510140405616,3.6661466458658345,0.0,38.37753510140406,True,False,True,True,0.5203390528971402,1274,42.90171606864275,57.09828393135725,0.46402103244395776,True
vix2r_d025_t15,05a_regime_output,other,16,0.25,0.0005,0.37747541069984436,89,True,1.2101846933364868,1.1000839471817017,-0.02995741367340088,0.5179407176287052,0.7177653324853835,0.4965012714861581,-0.25148606300354004,30.34321372854914,9.360374414976599,60.296411856474265,0.0,0.0,69.65678627145087,False,False,True,True,0.16161442921573224,1277,81.82527301092044,18.174726989079563,0.5144419891148633,True
vix2r_d025_t15_hr,05a_regime_output,other,16,0.25,0.0005,0.37747541069984436,89,True,1.2101846933364868,1.1000839471817017,-0.02995741367340088,0.5179407176287052,0.7177653324853835,0.4965012714861581,-0.25148606300354004,30.34321372854914,9.360374414976599,60.296411856474265,0.0,0.0,69.65678627145087,False,False,True,True,0.16161442921573224,1277,81.82527301092044,18.174726989079563,0.5144419891148633,True
vix2r_d025_t15_mlp,05a_regime_output,other,16,0.25,0.0005,0.38156217336654663,87,True,1.190123438835144,1.0909278392791748,-0.012883782386779785,0.517160686427457,0.7123952652919385,0.5002631083002714,-0.23637843132019043,30.733229329173167,4.99219968798752,64.27457098283932,0.0,0.0,69.26677067082684,False,False,True,True,0.12924988390474287,1279,79.87519500780031,20.12480499219969,0.5174237947277285,True
vix2r_d025_t15_mlp_hr,05a_regime_output,other,16,0.25,0.0005,0.38156217336654663,87,True,1.190123438835144,1.0909278392791748,-0.012883782386779785,0.517160686427457,0.7123952652919385,0.5002631083002714,-0.23637843132019043,30.733229329173167,4.99219968798752,64.27457098283932,0.0,0.0,69.26677067082684,False,False,True,True,0.12924988390474287,1279,79.87519500780031,20.12480499219969,0.5174237947277285,True
vix2r_d025_t20,05a_regime_output,other,16,0.25,0.0005,0.3745046854019165,88,True,1.36738920211792,1.1693542003631592,-0.1637500524520874,0.4797191887675507,0.590236718700928,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,41.80967238689547,False,False,True,True,0.40369781007006333,1279,42.43369734789392,57.56630265210608,0.4727156129421861,True
vix2r_d025_t20_hr,05a_regime_output,other,16,0.25,0.0005,0.3745046854019165,88,True,1.36738920211792,1.1693542003631592,-0.1637500524520874,0.4797191887675507,0.590236718700928,0.4929964241746354,-0.4557877779006958,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,41.80967238689547,False,False,True,True,0.40369781007006333,1279,42.43369734789392,57.56630265210608,0.4727156129421861,True
vix2r_d025_t20_mlp,05a_regime_output,other,16,0.25,0.0005,0.37519773840904236,74,True,1.4005745649337769,1.183458685874939,-0.1919933557510376,0.47737909516380655,0.5574128209230025,0.48723006924031453,-0.49179792404174805,54.52418096723869,7.800312012480499,37.67550702028081,0.0,0.0,45.47581903276131,False,False,True,True,0.43796436915798587,1280,42.82371294851794,57.176287051482056,0.4646091644041211,True
vix2r_d025_t20_mlp_hr,05a_regime_output,other,16,0.25,0.0005,0.37519773840904236,74,True,1.4005745649337769,1.183458685874939,-0.1919933557510376,0.47737909516380655,0.5574128209230025,0.48723006924031453,-0.49179792404174805,54.52418096723869,7.800312012480499,37.67550702028081,0.0,0.0,45.47581903276131,False,False,True,True,0.43796436915798587,1280,42.82371294851794,57.176287051482056,0.4646091644041211,True
