experiment_name,phase,hidden_size,dropout,has_staleness,n_periods,n_features,avg_concentration,std_concentration,min_concentration,max_concentration,concentration_trend,top_feature,feature_stability
12b_feature_sweep/core_dynamics_daily_7q_h3_d015_s42,12b_feature_sweep,3,,False,4,9,0.37420613318681717,0.04038062826841312,0.3411957621574402,0.4432774484157562,-0.026662978529930097,VIX,1.0
12b_feature_sweep/core_dynamics_weekly_7q_h5_enc12_s42,12b_feature_sweep,5,,False,4,9,0.29707036167383194,0.04922408928897706,0.2543294429779053,0.37680381536483765,-0.04080090820789337,VIX,1.0
12b_feature_sweep/market_only_daily_7q_h5_d015_s42,12b_feature_sweep,5,,False,4,5,0.5329021513462067,0.004589507230123339,0.5263354778289795,0.5373708605766296,0.0013949871063232305,VIX,1.0
12b_feature_sweep/market_only_daily_7q_h10_d015_s42,12b_feature_sweep,10,,False,4,5,0.4539661854505539,0.04426773458487651,0.4036928415298462,0.5090869069099426,-0.03834291696548459,VIX,1.0
12b_feature_sweep/macro_heavy_weekly_7q_h5_enc8_s42,12b_feature_sweep,5,,False,6,7,0.2831900765498479,0.08302338776721527,0.18130026757717133,0.416676789522171,0.03962194749287197,Industrial_Production,0.8333333333333334
12b_feature_sweep/macro_heavy_weekly_7q_h5_enc12_s42,12b_feature_sweep,5,,False,6,7,0.3031732241312663,0.11299113626844143,0.18478183448314667,0.47851893305778503,0.0581363158566611,Industrial_Production,1.0
12b_feature_sweep/macro_heavy_daily_7q_h5_d010_s42,12b_feature_sweep,5,,False,6,7,0.25162141770124435,0.03252731932157399,0.20513173937797546,0.28874197602272034,0.00917169834886278,VIX,0.8333333333333334
12b_feature_sweep/macro_heavy_daily_7q_h1_d015_s42,12b_feature_sweep,1,,False,6,7,0.2967236042022705,0.040934771999660474,0.2552880048751831,0.37490394711494446,-0.007640758582523892,VIX,1.0
12b_feature_sweep/macro_heavy_daily_7q_h3_d015_s42,12b_feature_sweep,3,,False,6,7,0.24588684986035028,0.02251906033376878,0.22295302152633667,0.2927994728088379,-0.003673743775912706,VIX,1.0
12b_feature_sweep/market_only_weekly_7q_h3_enc8_s42,12b_feature_sweep,3,,False,4,5,0.43396151810884476,0.054913583990495875,0.36742737889289856,0.49975913763046265,-0.042875555157661394,VIX,1.0
12b_feature_sweep/macro_heavy_daily_7q_h5_d015_s42,12b_feature_sweep,5,,False,6,7,0.2649192934234937,0.03734075521577644,0.21670128405094147,0.3301581144332886,-0.0032584467104503035,VIX,0.8333333333333334
12b_feature_sweep/core_dynamics_daily_7q_h5_d015_s42,12b_feature_sweep,5,,False,4,9,0.35028351098299026,0.05575752305098034,0.30819839239120483,0.44504332542419434,-0.04278420507907868,VIX,1.0
12b_feature_sweep/core_dynamics_daily_7q_h5_d010_s42,12b_feature_sweep,5,,False,4,9,0.3263831213116646,0.049997298492730116,0.2885908782482147,0.4107203483581543,-0.03937628567218781,VIX,1.0
12b_feature_sweep/macro_heavy_daily_7q_h10_d015_s42,12b_feature_sweep,10,,False,6,7,0.26375460127989453,0.022713908468200546,0.22796715795993805,0.2967602014541626,0.007385309253420131,VIX,1.0
12b_feature_sweep/core_dynamics_weekly_7q_h5_enc8_s42,12b_feature_sweep,5,,False,4,9,0.2933293581008911,0.047274395403603536,0.24893927574157715,0.3726266920566559,-0.03411341309547426,VIX,1.0
12b_feature_sweep/market_only_weekly_7q_h1_enc8_s42,12b_feature_sweep,1,,False,4,5,0.3880866467952728,0.043821348044152844,0.3263639211654663,0.4448404014110565,-0.029846924543380747,VIX,1.0
12_feature_ablation/core_dynamics_weekly_7q_h1_s42,12_feature_ablation,1,,False,4,9,0.5576607137918472,0.003395078413474235,0.5534988045692444,0.5622023344039917,0.0022089064121246734,VIX,1.0
12_feature_ablation/macro_heavy_weekly_7q_h1_s42,12_feature_ablation,1,,False,6,7,0.27708613127470016,0.09388815412091885,0.1778939664363861,0.4319768249988556,0.04635509720870426,Industrial_Production,0.6666666666666666
12_feature_ablation/market_only_daily_7q_h10_s42,12_feature_ablation,10,,False,4,5,0.4543908014893532,0.037933784696480274,0.41276559233665466,0.5017269253730774,-0.03263182342052457,VIX,1.0
12_feature_ablation/core_dynamics_daily_7q_h10_s42,12_feature_ablation,10,,False,4,9,0.3117983639240265,0.045693988549013034,0.27478936314582825,0.3873974680900574,-0.037014377117157,VIX,1.0
12_feature_ablation/macro_heavy_daily_7q_h10_s42,12_feature_ablation,10,,False,6,7,0.23915097365776697,0.02105589759099423,0.20876893401145935,0.26729562878608704,0.011244686586516244,VIX,1.0
12_feature_ablation/market_only_weekly_7q_h1_s42,12_feature_ablation,1,,False,4,5,0.33273378014564514,0.03493015130135268,0.28573209047317505,0.3800029456615448,-0.025325268507003798,Yield_Spread,0.75
